 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5001
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 110-956-970
127.0.0.1 - - [23/Nov/2025 01:13:02] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:13:13] "HEAD /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:13:13] "HEAD /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:15:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:15:28] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:15:29] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:15:29] "GET /static/js/hotel_booking.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:15:29] "GET /static/js/hotel_search.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:15:31] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [23/Nov/2025 01:26:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:26:14] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [23/Nov/2025 01:26:15] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:26:15] "[36mGET /static/js/hotel_booking.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [23/Nov/2025 01:26:15] "[36mGET /static/js/hotel_search.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [23/Nov/2025 01:27:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 01:27:39] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [23/Nov/2025 01:27:40] "GET /static/js/main.js HTTP/1.1" 200 -
